Code,Latitude,Family,Temp Num,Well,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13,CS 18 from MOG,CS 18 scaled,,
RMO 197,-9.223,41,24,1,1,2.566605836,837.72,2.736711926,717.76,2.344819692,,
RMO 198,-9.223,41,24,1,1,2.773966318,905.72,2.958858241,762.26,2.490194854,,
RMO 199,-9.223,41,24,1,1,2.734925705,895.22,2.924556237,759.8,2.482158384,,
RMO 205,-9.223,41,24,2,0,2.623553374,870.19,2.842786792,757.62,2.475036635,,
RMO 211,-9.223,41,28,1,1,2.701253257,888.07,2.901198205,758.66,2.478434166,,
RMO 216,-9.223,41,28,2,1,2.46947039,803.51,2.624952729,675.77,2.207644342,,
RMO 217,-9.223,41,28,2,0,2.557645856,855,2.793163225,747.22,2.441061316,,
RMO 219,-9.223,41,28,2,1,2.747174379,898.76,2.936120912,771.64,2.520837978,,
RMO 221,-9.223,41,28,3,1,2.512826396,833.51,2.722958456,698,2.280266586,,
RMO 226,-9.223,6,20,1,1,2.969844075,960.07,3.13641195,798.73,2.609337149,,
RMO 227,-9.223,6,20,1,0,2.823860601,935.8,3.057125317,836.76,2.733575743,,
RMO 231,-9.223,6,20,2,0,2.775397177,913.62,2.984666416,802.92,2.623025283,,
RMO 233,-9.223,6,20,2,1,2.800080311,911.49,2.977708009,752.43,2.458081644,,
RMO 241,-9.223,6,24,1,0,2.721223355,896.9,2.930044557,781.84,2.554159925,,
RMO 247,-9.223,6,24,2,0,2.684588149,898.75,2.936088244,789.66,2.579706751,,
RMO 258,-9.223,6,28,1,0,2.61634041,872.13,2.849124495,770.59,2.517407777,,
RMO 266,-9.223,6,28,3,0,2.454920607,816.52,2.667454546,717.52,2.344035646,,
RMO 273,-9.223,18,20,1,1,2.955,963.06,3.146179854,815.37,2.663697659,,
RMO 284,-9.223,18,20,3,0,2.83,937.41,3.062384958,828.05,2.705121413,,
