"","Code","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"302","RMO 286","Amazon","Rondonia",-9.223,"RMO",18,"B","1","M",2.753
"303","RMO 288","Amazon","Rondonia",-9.223,"RMO",18,"B","1","F",2.74
"304","RMO 308","Amazon","Rondonia",-9.223,"RMO",18,"C","2","F",2.528
"305","RMO 311","Amazon","Rondonia",-9.223,"RMO",18,"C","3","M",2.504
"306","RMO 312","Amazon","Rondonia",-9.223,"RMO",18,"C","3","M",2.497
"307","RMO 316","Amazon","Rondonia",-9.223,"RMO",24,"A","1","M",2.755
"308","RMO 322","Amazon","Rondonia",-9.223,"RMO",24,"A","2","F",2.916
"309","RMO 324","Amazon","Rondonia",-9.223,"RMO",24,"A","2","F",2.972
"310","RMO 327","Amazon","Rondonia",-9.223,"RMO",24,"A","3","M",2.871
"311","RMO 328","Amazon","Rondonia",-9.223,"RMO",24,"A","3","F",2.866
"312","RMO 331","Amazon","Rondonia",-9.223,"RMO",24,"B","1","M",2.75
"313","RMO 333","Amazon","Rondonia",-9.223,"RMO",24,"B","1","M",2.747
"314","RMO 335","Amazon","Rondonia",-9.223,"RMO",24,"B","1","M",3.038
"315","RMO 336","Amazon","Rondonia",-9.223,"RMO",24,"B","2","F",2.561
"316","RMO 338","Amazon","Rondonia",-9.223,"RMO",24,"B","2","M",2.686
"317","RMO 341","Amazon","Rondonia",-9.223,"RMO",24,"B","3","M",2.781
"318","RMO 344","Amazon","Rondonia",-9.223,"RMO",24,"B","3","F",2.632
"319","RMO 345","Amazon","Rondonia",-9.223,"RMO",24,"B","3","M",2.871
"320","RMO 348","Amazon","Rondonia",-9.223,"RMO",24,"C","1","F",2.473
"321","RMO 364","Amazon","Rondonia",-9.223,"RMO",27,"A","1","M",2.818
"322","RMO 368","Amazon","Rondonia",-9.223,"RMO",27,"A","2","M",2.72
"323","RMO 369","Amazon","Rondonia",-9.223,"RMO",27,"A","2","F",2.627
"324","RMO 391","Amazon","Rondonia",-9.223,"RMO",27,"C","1","F",2.531
